# ID,Prediction,SP(Sec/SPI),OTHER,CS Position
Cre08.g365900.t1.2,OTHER,0.0017239999999999998,0.998276,
Cre08.g380700.t1.2,OTHER,0.0006730000000000001,0.9993270000000001,
Cre08.g362250.t1.1,OTHER,0.000596,0.9994040000000001,
Cre08.g362776.t1.1,OTHER,0.349673,0.650327,
Cre08.g373840.t1.1,SP(Sec/SPI),0.650692,0.349308,CS pos: 39-40. ASA-LP. Pr: 0.2240
Cre08.g363700.t1.1,OTHER,0.002092,0.997908,
Cre08.g382400.t1.1,OTHER,0.03644,0.9635600000000001,
Cre08.g384700.t1.1,OTHER,0.002576,0.997424,
Cre08.g381850.t1.2,OTHER,0.008086,0.991914,
Cre08.g365150.t2.1,SP(Sec/SPI),0.882117,0.11788299999999999,CS pos: 19-20. VFS-AR. Pr: 0.7540
Cre08.g365150.t1.2,SP(Sec/SPI),0.882117,0.11788299999999999,CS pos: 19-20. VFS-AR. Pr: 0.7540
Cre08.g373726.t1.1,OTHER,0.017904,0.9820959999999999,
Cre08.g379550.t1.1,OTHER,0.00042800000000000005,0.9995719999999999,
Cre08.g379550.t2.1,OTHER,0.00067,0.9993299999999999,
Cre08.g360350.t2.1,OTHER,0.001235,0.998765,
Cre08.g360350.t1.1,OTHER,0.001235,0.998765,
Cre08.g365200.t1.2,SP(Sec/SPI),0.8797299999999999,0.12027,CS pos: 19-20. VFS-AR. Pr: 0.7522
Cre08.g361350.t1.2,OTHER,0.0049700000000000005,0.99503,
Cre08.g368850.t1.2,SP(Sec/SPI),0.9531860000000001,0.046814,CS pos: 26-27. CEA-AS. Pr: 0.8334
Cre08.g370350.t1.2,OTHER,0.002381,0.997619,
Cre08.g361000.t1.1,OTHER,0.064334,0.935666,
Cre08.g361000.t2.1,OTHER,0.064334,0.935666,
Cre08.g363837.t1.1,OTHER,0.0011359999999999999,0.998864,
Cre08.g370401.t1.1,OTHER,0.0010710000000000001,0.9989290000000001,
Cre08.g360500.t1.1,OTHER,0.004968,0.9950319999999999,
Cre08.g364501.t1.1,OTHER,0.0005610000000000001,0.999439,
Cre08.g373802.t1.1,OTHER,0.0047009999999999994,0.9952989999999999,
Cre08.g367400.t1.1,OTHER,0.002691,0.997309,
Cre08.g358600.t1.1,OTHER,0.47151499999999996,0.528485,
Cre08.g386000.t1.1,OTHER,0.038164,0.961836,
Cre08.g386000.t2.1,OTHER,0.038164,0.961836,
Cre08.g379900.t1.1,OTHER,0.0014730000000000001,0.998527,
Cre08.g376740.t1.1,OTHER,0.0073219999999999995,0.9926780000000001,
Cre08.g376740.t2.1,OTHER,0.0073219999999999995,0.9926780000000001,
Cre08.g382560.t1.1,SP(Sec/SPI),0.8995129999999999,0.100487,CS pos: 24-25. AAA-SG. Pr: 0.4696
Cre08.g373359.t1.1,OTHER,0.013484000000000001,0.986516,
Cre08.g384150.t1.1,OTHER,0.002729,0.9972709999999999,
Cre08.g362000.t1.2,OTHER,0.0017350000000000002,0.998265,
Cre08.g377950.t1.2,OTHER,0.001064,0.998936,
Cre08.g383500.t1.1,OTHER,0.004729,0.9952709999999999,
Cre08.g380400.t1.2,OTHER,0.000797,0.9992030000000001,
Cre08.g373050.t1.1,OTHER,0.0014199999999999998,0.9985799999999999,
Cre08.g361200.t1.2,OTHER,0.0015609999999999999,0.998439,
Cre08.g361200.t2.1,OTHER,0.0015609999999999999,0.998439,
Cre08.g381516.t1.1,OTHER,0.00183,0.9981700000000001,
Cre08.g358576.t1.1,OTHER,0.0015630000000000002,0.9984370000000001,
Cre08.g381900.t1.2,SP(Sec/SPI),0.986785,0.013215000000000001,CS pos: 20-21. VLP-VG. Pr: 0.5283
Cre08.g379175.t1.1,OTHER,0.008672,0.9913280000000001,
Cre08.g359900.t1.1,OTHER,0.000421,0.9995790000000001,
Cre08.g358543.t1.1,OTHER,0.011931,0.9880690000000001,
Cre08.g365065.t1.1,OTHER,0.001963,0.9980370000000001,
Cre08.g365065.t2.1,OTHER,0.001963,0.9980370000000001,
Cre08.g379850.t1.2,OTHER,0.001291,0.9987090000000001,
Cre08.g381702.t1.1,OTHER,0.0061649999999999995,0.993835,
Cre08.g359300.t1.2,SP(Sec/SPI),0.9798969999999999,0.020103,CS pos: 35-36. ASA-EE. Pr: 0.5790
Cre08.g379350.t1.1,OTHER,0.000672,0.9993280000000001,
Cre08.g382590.t1.1,OTHER,0.00143,0.9985700000000001,
Cre08.g382590.t2.1,OTHER,0.00143,0.9985700000000001,
Cre08.g367650.t1.2,OTHER,0.002053,0.9979469999999999,
Cre08.g358536.t1.1,OTHER,0.002968,0.9970319999999999,
Cre08.g359950.t1.2,OTHER,0.00436,0.99564,
Cre08.g373367.t1.1,OTHER,0.006612000000000001,0.9933879999999999,
Cre08.g377400.t1.1,OTHER,0.007025,0.992975,
