STDEV,Strain,DESeq
NCU00604,,NCU02127
NCU08643,,NCU10314
NCU02407,,NCU04322
NCU06366,,NCU00711
NCU00687,,NCU09024
NCU10036,,NCU07622
NCU00813,,NCU05343
NCU04636,,NCU02558
NCU04568,,NCU02182
NCU02883,,NCU01000
NCU02849,,NCU06189
NCU03174,,NCU05079
NCU02046,,NCU09805
NCU00076,,NCU09212
NCU15836,,NCU11312
NCU05157,,NCU07740
NCU17115,,NCU04060
NCU05034,,NCU06618
NCU06815,,NCU08983
NCU00911,,NCU04484
NCU02692,,NCU06847
NCU04554,,NCU08418
NCU03257,,NCU01115
NCU00605,,NCU16724
NCU00732,,NCU02022
NCU00293,,NCU03978
NCU04313,,NCU04732
NCU04212,,NCU01319
NCU00906,,NCU04367
NCU03518,,NCU03509
NCU05848,,NCU07062
NCU00987,,NCU07970
NCU07305,,NCU03215
NCU09210,,NCU02070
NCU00951,,NCU05683
NCU11288,,NCU06804
NCU08354,,NCU00967
NCU08515,,NCU09069
NCU08167,,NCU03325
NCU06052,,NCU04789
NCU08862,,NCU06864
NCU06611,,NCU09038
NCU08998,,NCU02087
NCU01927,,NCU04768
NCU02879,,NCU09602
NCU04013,,NCU02783
NCU09050,,NCU09025
NCU02024,,NCU09240
NCU01512,,NCU04638
NCU02228,,NCU05980
NCU03352,,NCU03992
NCU03975,,NCU03779
NCU11295,,NCU02796
NCU04474,,NCU07235
NCU04809,,NCU03240
NCU02188,,NCU11286
NCU07234,,NCU07724
NCU05045,,NCU12026
NCU08924,,NCU08556
NCU02252,,NCU05873
NCU05430,,NCU11222
NCU08366,,NCU07544
NCU05519,,NCU06312
NCU07362,,NCU02906
NCU01209,,NCU09287
NCU03931,,NCU00466
NCU05597,,NCU03023
NCU06803,,NCU03868
NCU02797,,NCU05918
NCU06870,,NCU11187
NCU10011,,NCU05830
NCU07340,,NCU03462
NCU01593,,NCU05767
NCU08935,,NCU01012
NCU04118,,NCU09641
NCU05722,,NCU07020
NCU06006,,NCU01517
NCU08531,,NCU00447
NCU09715,,NCU00925
NCU02259,,NCU08737
NCU01665,,NCU05315
NCU01868,,NCU04813
NCU00742,,NCU05289
NCU00536,,NCU02600
NCU09770,,NCU04397
NCU03082,,NCU11000
NCU07008,,NCU06339
NCU09654,,NCU04557
NCU00620,,NCU08693
NCU09152,,NCU17030
NCU07218,,NCU06785
NCU07312,,NCU02343
NCU08005,,NCU07333
NCU00892,,NCU05225
NCU08232,,NCU01494
NCU09185,,NCU02175
NCU05193,,NCU08117
NCU06637,,NCU05546
NCU06327,,NCU06681
NCU04619,,NCU09037
NCU09677,,NCU08226
NCU05114,,NCU01214
NCU03197,,NCU05925
NCU06745,,NCU10687
NCU02207,,NCU04591
NCU02663,,NCU07905
NCU05196,,NCU02913
NCU05580,,NCU09380
NCU07489,,NCU00829
NCU06266,,NCU03533
NCU04672,,NCU03725
NCU01633,,NCU06735
NCU06384,,NCU09716
NCU15829,,NCU11383
NCU09155,,NCU06675
NCU02690,,NCU01758
NCU07153,,NCU08962
NCU00754,,NCU09172
NCU05278,,NCU01911
NCU10008,,NCU00180
NCU09771,,NCU03861
NCU02732,,NCU00943
NCU07623,,NCU08019
NCU09163,,NCU04391
NCU08112,,NCU00081
NCU00936,,NCU01104
NCU08687,,NCU09017
NCU03117,,NCU01066
NCU06316,,NCU06759
NCU04435,,NCU03398
NCU08152,,NCU09634
NCU00988,,NCU04455
NCU00122,,NCU06521
NCU04299,,NCU07077
NCU06666,,NCU05990
NCU01715,,NCU05518
NCU07332,,NCU09909
NCU07849,,NCU05429
NCU01781,,NCU04142
NCU06895,,NCU06687
NCU01843,,NCU00201
NCU07508,,NCU02336
NCU09486,,NCU08230
NCU08634,,NCU05516
NCU01309,,NCU01378
NCU02927,,NCU09782
NCU05598,,NCU05632
NCU06525,,NCU00277
NCU01356,,NCU02699
NCU00035,,NCU08850
NCU11362,,NCU06374
NCU03667,,NCU05637
NCU10007,,NCU06860
NCU10360,,NCU09171
NCU07517,,NCU03426
NCU08909,,NCU00932
NCU16968,,NCU00118
NCU08767,,NCU10258
NCU08524,,NCU02585
NCU07769,,NCU10647
NCU07079,,NCU06862
NCU05829,,NCU09209
NCU10276,,NCU05866
NCU09709,,NCU04478
NCU05968,,NCU08641
NCU09022,,NCU07731
NCU05805,,NCU00110
NCU07567,,NCU00870
NCU05627,,NCU05016
NCU04132,,NCU00689
NCU09424,,NCU06409
NCU07072,,NCU09126
NCU05184,,NCU04729
NCU07864,,NCU08601
NCU02936,,NCU02386
NCU03980,,NCU02527
NCU09003,,NCU03132
NCU03066,,NCU07121
NCU05069,,NCU09854
NCU02514,,NCU04862
NCU06441,,NCU04630
NCU06462,,NCU08273
NCU07063,,NCU06406
NCU08436,,NCU10392
NCU03154,,NCU03938
NCU00862,,NCU08606
NCU05128,,NCU09471
NCU07156,,NCU00591
NCU07202,,NCU07692
NCU02110,,NCU04669
NCU17083,,NCU04221
NCU09955,,NCU00582
NCU10058,,NCU01150
NCU09103,,NCU07383
NCU01731,,NCU09874
NCU05735,,NCU05693
NCU00477,,NCU01022
NCU05819,,NCU06250
NCU04481,,NCU04167
NCU03188,,NCU05770
NCU09843,,NCU01457
NCU07607,,NCU07521
NCU08145,,NCU09609
NCU09700,,NCU04694
NCU05510,,NCU06806
NCU06305,,NCU02996
NCU07798,,NCU04335
NCU00684,,NCU02033
NCU16599,,NCU06413
NCU00937,,NCU07543
NCU00332,,NCU09391
NCU05957,,NCU03728
NCU09907,,NCU09079
NCU07334,,NCU08791
NCU07281,,NCU04935
NCU08076,,NCU08319
NCU09419,,NCU07582
NCU04415,,NCU07934
NCU02704,,NCU04850
NCU04532,,NCU05785
NCU05851,,NCU02701
NCU00242,,NCU00575
NCU07839,,NCU02139
NCU07343,,NCU06148
NCU00844,,NCU03783
NCU08050,,NCU06217
NCU03686,,NCU08349
NCU05585,,NCU01612
NCU03632,,NCU09923
NCU07054,,NCU06118
NCU03789,,NCU01760
NCU04448,,NCU16457
NCU02296,,NCU10911
NCU08864,,NCU03646
NCU05606,,NCU05694
NCU03998,,NCU03921
NCU07129,,NCU04824
NCU01170,,NCU00611
NCU17177,,NCU07946
NCU11306,,NCU02914
NCU09153,,NCU09974
NCU02150,,NCU09756
NCU05862,,NCU05726
NCU01336,,NCU05064
NCU03491,,NCU04451
NCU06042,,NCU05105
NCU02035,,NCU09425
NCU06917,,NCU03952
NCU04194,,NCU02415
NCU06607,,NCU05721
NCU09958,,NCU01543
NCU06574,,NCU05791
NCU01985,,NCU05859
NCU07175,,NCU01210
NCU01589,,NCU09187
NCU04359,,NCU05978
NCU16775,,NCU00528
NCU09156,,NCU06459
NCU03288,,NCU05994
NCU02383,,NCU03171
NCU02397,,NCU09407
NCU08980,,NCU04576
NCU02236,,NCU05201
NCU00392,,NCU04358
NCU08069,,NCU07139
NCU00714,,NCU06373
NCU07074,,NCU01886
NCU09349,,NCU06186
NCU10904,,NCU09629
NCU00834,,NCU02630
NCU04418,,NCU07911
NCU09352,,NCU08042
NCU02058,,NCU06098
NCU16914,,NCU01311
NCU01856,,NCU00846
NCU05979,,NCU05151
NCU06063,,NCU04222
NCU07083,,NCU07969
NCU00935,,NCU06957
NCU04303,,NCU16913
NCU08747,,NCU07587
NCU09174,,NCU04439
NCU09186,,NCU04650
NCU06180,,NCU09787
NCU10987,,NCU09406
NCU10806,,NCU06608
NCU00648,,NCU07050
NCU00630,,NCU05923
NCU04547,,NCU05985
NCU09266,,NCU04096
NCU00285,,NCU00206
NCU08905,,NCU09296
NCU06985,,NCU03669
NCU06153,,NCU08558
NCU07668,,NCU03870
NCU06005,,NCU00406
NCU00916,,NCU00478
NCU09892,,NCU00492
NCU00653,,NCU02223
NCU10810,,NCU03355
NCU00808,,NCU02034
NCU11353,,NCU07479
NCU09564,,NCU07192
NCU04642,,NCU10359
NCU05302,,NCU00142
NCU11341,,NCU03127
NCU00127,,NCU06557
NCU02244,,NCU00629
NCU05960,,NCU15831
NCU07231,,NCU04390
NCU01882,,NCU03079
NCU01753,,NCU03479
NCU05043,,NCU07021
NCU00552,,NCU06928
NCU03768,,NCU06276
NCU05453,,NCU01572
NCU10239,,NCU08753
NCU05113,,NCU06963
NCU06117,,NCU03648
NCU06351,,NCU00331
NCU01812,,NCU09847
NCU08967,,NCU08136
NCU01976,,NCU09529
NCU07861,,NCU09196
NCU03255,,NCU07389
NCU04454,,NCU09860
NCU03076,,NCU07487
NCU04042,,NCU08281
NCU08738,,NCU09384
NCU09458,,NCU01917
NCU04396,,NCU08755
NCU00585,,NCU04343
NCU02885,,NCU00263
NCU06894,,NCU04223
NCU05307,,NCU07840
NCU04130,,NCU09906
NCU06194,,NCU10836
NCU02146,,NCU08901
NCU08307,,NCU07894
NCU03699,,NCU00070
NCU00678,,NCU03242
NCU06866,,NCU05301
NCU10344,,NCU07745
NCU07262,,NCU04632
NCU09102,,NCU15834
NCU09873,,NCU08828
NCU01613,,NCU07579
NCU10156,,NCU09566
NCU02267,,NCU05268
NCU02512,,NCU02590
NCU06235,,NCU03062
NCU05835,,NCU00282
NCU09308,,NCU01495
NCU05602,,NCU00085
NCU04110,,NCU06986
NCU10675,,NCU06857
NCU07342,,NCU00730
NCU06523,,NCU09188
NCU08771,,NCU03032
NCU06106,,NCU03121
NCU09026,,NCU05213
NCU02616,,NCU05028
NCU02487,,NCU07082
NCU06358,,NCU03235
NCU01059,,NCU10027
NCU08611,,NCU00241
NCU05850,,NCU03571
NCU04625,,NCU01387
NCU02625,,NCU03767
NCU07030,,NCU07221
NCU02213,,NCU00104
NCU03741,,NCU04674
NCU05836,,NCU00793
NCU08480,,NCU04848
NCU06918,,NCU06907
NCU02278,,NCU06050
NCU05782,,NCU10470
NCU07802,,NCU08697
NCU00357,,NCU01033
NCU16336,,NCU07525
NCU10003,,NCU09097
NCU06582,,NCU09812
NCU02580,,NCU06648
NCU07533,,NCU09253
NCU08749,,NCU09729
NCU01752,,NCU09975
NCU11146,,NCU08045
NCU02107,,NCU09228
NCU04346,,NCU00717
NCU08788,,NCU03477
NCU01038,,NCU04628
NCU10091,,NCU05265
NCU05042,,NCU16490
NCU09526,,NCU04610
NCU02430,,NCU00984
NCU03759,,NCU08449
NCU02239,,NCU08049
NCU04698,,NCU00869
NCU08148,,NCU03814
NCU06725,,NCU03437
NCU02127,,NCU03305
NCU10314,,NCU06067
NCU05130,,NCU05183
NCU03029,,NCU01386
NCU04322,,NCU03622
NCU00711,,NCU06752
NCU09024,,NCU00400
NCU07622,,NCU00251
NCU09912,,NCU01272
NCU05343,,NCU06598
NCU02558,,NCU02295
NCU02182,,NCU01466
NCU08752,,NCU07767
NCU00301,,NCU00430
NCU01000,,NCU04623
NCU01367,,NCU02853
NCU06189,,NCU02497
NCU05079,,NCU03360
NCU09805,,NCU02592
NCU08153,,NCU02272
NCU09212,,NCU06944
NCU11312,,NCU08700
NCU07740,,NCU05939
NCU04060,,NCU01768
NCU06618,,NCU00941
NCU09651,,NCU06264
NCU08983,,NCU07909
NCU04484,,NCU06868
NCU06847,,NCU02319
NCU08418,,NCU09449
NCU02122,,NCU02284
NCU01115,,NCU05603
NCU16724,,NCU08887
NCU02022,,NCU00810
NCU04732,,NCU02988
NCU01319,,NCU09472
NCU04367,,NCU04851
NCU03509,,NCU08147
NCU05527,,NCU07481
NCU07062,,NCU05650
NCU07970,,NCU04570
NCU03215,,NCU09191
NCU02070,,NCU05239
NCU05683,,NCU06411
NCU00052,,NCU08423
NCU03346,,NCU09048
NCU06804,,NCU09267
NCU00967,,NCU05185
NCU09069,,NCU03785
NCU03325,,NCU07966
NCU04789,,NCU09903
NCU06864,,NCU05246
NCU09038,,NCU05260
NCU10853,,NCU08658
NCU02087,,NCU05046
NCU04768,,NCU06437
NCU09602,,NCU05858
NCU02783,,NCU09031
NCU09025,,NCU09065
NCU09240,,NCU02978
NCU04638,,NCU10905
NCU05980,,NCU03416
NCU03992,,NCU08763
NCU04866,,NCU05754
NCU03779,,NCU08921
NCU06483,,NCU00128
NCU02796,,NCU04348
NCU07235,,NCU05013
NCU03240,,NCU02276
NCU11286,,NCU04663
NCU07724,,NCU03928
NCU12026,,NCU09252
NCU08556,,NCU02928
NCU05873,,NCU04786
NCU11222,,NCU02612
NCU07544,,NCU03550
NCU06312,,NCU02354
NCU02906,,NCU00550
NCU00466,,NCU04088
NCU01929,,NCU00631
NCU03023,,NCU04767
NCU04450,,NCU06908
NCU03868,,NCU08696
NCU03134,,NCU01349
NCU11187,,NCU04749
NCU03462,,NCU09064
NCU05767,,NCU01932
NCU02931,,NCU06685
NCU07020,,NCU08021
NCU01517,,NCU06604
NCU00295,,NCU07029
NCU04048,,NCU04615
NCU00447,,NCU06583
NCU00925,,NCU02324
NCU08737,,NCU01510
NCU08228,,NCU05891
NCU05315,,NCU08496
NCU04813,,NCU00763
NCU05289,,NCU09482
NCU02600,,NCU08701
NCU04397,,NCU01151
NCU06732,,NCU10895
NCU06836,,NCU02750
NCU11000,,NCU04095
NCU06339,,NCU08487
NCU04557,,NCU07546
NCU08693,,NCU02053
NCU02074,,NCU00929
NCU17030,,NCU09162
NCU06785,,NCU09500
NCU02343,,NCU01176
NCU07333,,NCU01193
NCU05225,,NCU08064
NCU06718,,NCU05926
NCU07675,,NCU04569
NCU01494,,NCU07534
NCU02175,,NCU04661
NCU04297,,NCU02057
NCU05546,,NCU01009
NCU06681,,NCU04826
NCU09037,,NCU02184
NCU03290,,NCU02994
NCU08226,,NCU04736
NCU02485,,NCU06696
NCU01214,,NCU04321
NCU04374,,NCU10009
NCU05925,,NCU02051
NCU10687,,NCU07484
NCU04591,,NCU00124
NCU07905,,NCU05591
NCU03098,,NCU01632
NCU02913,,NCU05502
NCU09380,,NCU08420
NCU00829,,NCU08358
NCU03533,,NCU06984
NCU03725,,NCU02347
NCU08526,,NCU00388
NCU06735,,NCU07496
NCU09716,,NCU08056
NCU11383,,NCU03776
NCU00587,,NCU08565
NCU01758,,NCU08023
NCU04382,,NCU04105
NCU08962,,NCU04254
NCU01430,,NCU01315
NCU09172,,NCU04021
NCU07098,,NCU03060
NCU16549,,NCU01789
NCU01911,,NCU01105
NCU00180,,NCU11138
NCU07982,,NCU06272
NCU03861,,NCU03379
NCU00943,,NCU07412
NCU08019,,NCU06930
NCU03267,,NCU07308
NCU03365,,NCU03844
NCU00081,,NCU02068
NCU04259,,NCU01910
NCU01104,,NCU04871
NCU09017,,NCU07307
NCU01066,,NCU07863
NCU06337,,NCU03584
NCU08096,,NCU08535
NCU06759,,NCU02478
NCU03398,,NCU07949
NCU09023,,NCU00274
NCU01996,,NCU05047
NCU02137,,NCU06294
NCU04455,,NCU14148
NCU06521,,NCU16019
NCU07077,,NCU16005
NCU04653,,NCU16004
NCU05990,,NCU14011
NCU05518,,NCU14077
NCU09909,,NCU17319
NCU05429,,NCU14081
NCU04142,,NCU16024
NCU06687,,NCU16201
NCU04380,,NCU14085
NCU00201,,NCU14046
NCU02336,,NCU15248
NCU08230,,NCU16026
NCU05516,,NCU15223
NCU01378,,NCU16017
NCU09782,,NCU15115
NCU02621,,NCU16002
NCU05632,,NCU16011
NCU00277,,NCU16022
NCU02699,,NCU16021
NCU08850,,NCU16203
NCU06374,,NCU15045
NCU05637,,NCU14038
NCU06860,,NCU14036
NCU09171,,NCU14013
NCU07715,,NCU14139
NCU03426,,NCU14162
NCU00932,,NCU15385
NCU00118,,NCU15257
NCU10258,,NCU14074
NCU02585,,NCU15178
NCU10647,,NCU14060
NCU09247,,NCU14089
NCU06862,,NCU14042
NCU09209,,NCU15152
NCU05866,,NCU14147
NCU00876,,NCU15398
NCU00292,,NCU14086
NCU04478,,NCU15209
NCU04270,,NCU14061
NCU07731,,NCU15166
NCU08563,,
NCU00689,,
NCU06409,,
NCU01353,,
NCU09126,,
NCU04729,,
NCU01157,,
NCU08601,,
NCU00308,,
NCU02386,,
NCU02527,,
NCU01527,,
NCU03132,,
NCU09829,,
NCU09854,,
NCU04862,,
NCU16597,,
NCU02619,,
NCU04630,,
NCU08273,,
NCU07896,,
NCU06406,,
NCU10392,,
NCU03938,,
NCU08606,,
NCU09471,,
NCU00591,,
NCU02307,,
NCU00032,,
NCU07692,,
NCU04669,,
NCU04221,,
NCU04807,,
NCU09488,,
NCU00582,,
NCU01150,,
NCU07788,,
NCU07383,,
NCU09874,,
NCU05693,,
NCU00784,,
NCU01022,,
NCU06250,,
NCU05770,,
NCU01457,,
NCU07521,,
NCU09609,,
NCU06806,,
NCU02996,,
NCU02033,,
NCU06413,,
NCU06391,,
NCU07543,,
NCU09391,,
NCU02972,,
NCU09079,,
NCU08791,,
NCU04935,,
NCU08319,,
NCU07582,,
NCU07934,,
NCU04850,,
NCU05785,,
NCU02701,,
NCU00575,,
NCU02139,,
NCU16845,,
NCU06148,,
NCU03783,,
NCU06217,,
NCU08349,,
NCU01612,,
NCU09923,,
NCU06118,,
NCU00926,,
NCU01760,,
NCU16457,,
NCU10911,,
NCU03646,,
NCU10476,,
NCU04425,,
NCU04824,,
NCU00611,,
NCU02270,,
NCU08898,,
NCU09756,,
NCU05726,,
NCU08197,,
NCU05064,,
NCU04143,,
NCU04451,,
NCU05105,,
NCU09773,,
NCU06503,,
NCU09425,,
NCU09772,,
NCU03952,,
NCU08517,,
NCU02415,,
NCU05721,,
NCU01543,,
NCU05791,,
NCU05859,,
NCU17269,,
NCU09187,,
NCU01498,,
NCU05978,,
NCU00528,,
NCU06459,,
NCU05994,,
NCU03171,,
NCU04576,,
NCU05201,,
NCU04358,,
NCU02063,,
NCU07139,,
NCU06373,,
NCU01886,,
NCU00880,,
NCU09629,,
NCU02630,,
NCU06252,,
NCU08042,,
NCU01311,,
NCU03651,,
NCU00846,,
NCU05524,,
NCU05151,,
NCU07969,,
NCU06957,,
NCU09045,,
NCU04643,,
NCU16913,,
NCU07587,,
NCU04439,,
NCU04650,,
NCU09787,,
NCU09406,,
NCU03461,,
NCU04428,,
NCU06565,,
NCU06608,,
NCU07050,,
NCU05923,,
NCU05985,,
NCU04096,,
NCU00206,,
NCU09296,,
NCU03669,,
NCU08558,,
NCU03870,,
NCU00406,,
NCU00478,,
NCU00492,,
NCU02223,,
NCU03355,,
NCU02034,,
NCU07479,,
NCU03435,,
NCU07192,,
NCU10359,,
NCU05664,,
NCU00142,,
NCU03127,,
NCU09804,,
NCU06557,,
NCU00629,,
NCU09910,,
NCU15831,,
NCU04390,,
NCU03079,,
NCU01053,,
NCU03479,,
NCU07021,,
NCU03387,,
NCU06928,,
NCU01572,,
NCU08753,,
NCU03024,,
NCU06963,,
NCU03648,,
NCU00331,,
NCU09610,,
NCU08899,,
NCU09847,,
NCU08136,,
NCU08397,,
NCU09529,,
NCU09196,,
NCU09598,,
NCU01085,,
NCU09300,,
NCU07389,,
NCU04747,,
NCU09860,,
NCU07487,,
NCU08281,,
NCU09384,,
NCU05577,,
NCU01917,,
NCU08755,,
NCU04343,,
NCU12040,,
NCU00263,,
NCU15832,,
NCU04223,,
NCU04523,,
NCU09906,,
NCU10836,,
NCU08901,,
NCU07894,,
NCU06265,,
NCU06754,,
NCU00070,,
NCU08848,,
NCU05301,,
NCU03480,,
NCU07745,,
NCU04632,,
NCU15834,,
NCU08828,,
NCU07579,,
NCU09566,,
NCU04264,,
NCU05268,,
NCU02590,,
NCU03062,,
NCU00282,,
NCU00085,,
NCU03914,,
NCU06857,,
NCU00730,,
NCU04207,,
NCU02828,,
NCU09188,,
NCU07889,,
NCU03032,,
NCU03121,,
NCU05213,,
NCU09791,,
NCU10400,,
NCU05028,,
NCU10597,,
NCU07082,,
NCU03235,,
NCU10027,,
NCU02406,,
NCU00241,,
NCU03571,,
NCU01387,,
NCU03767,,
NCU07162,,
NCU07221,,
NCU00104,,
NCU01479,,
NCU17154,,
NCU04674,,
NCU00793,,
NCU04848,,
NCU06907,,
NCU06050,,
NCU03458,,
NCU10470,,
NCU02777,,
NCU09241,,
NCU06869,,
NCU08697,,
NCU01033,,
NCU07525,,
NCU09097,,
NCU09812,,
NCU06971,,
NCU06648,,
NCU05349,,
NCU04295,,
NCU02065,,
NCU09253,,
NCU09729,,
NCU00269,,
NCU04104,,
NCU06950,,
NCU07282,,
NCU08045,,
NCU09499,,
NCU09228,,
NCU00717,,
NCU00614,,
NCU04628,,
NCU06342,,
NCU05265,,
NCU16490,,
NCU05648,,
NCU09957,,
NCU04610,,
NCU00984,,
NCU08449,,
NCU08049,,
NCU00869,,
NCU04203,,
NCU04722,,
NCU03814,,
NCU09362,,
NCU03437,,
NCU03305,,
NCU06067,,
NCU05183,,
NCU10529,,
NCU01386,,
NCU03622,,
NCU06752,,
NCU00400,,
NCU00251,,
NCU02626,,
NCU05536,,
NCU01272,,
NCU09595,,
NCU06598,,
NCU02295,,
NCU02539,,
NCU01466,,
NCU07767,,
NCU00430,,
NCU04623,,
NCU02853,,
NCU02497,,
NCU01569,,
NCU03360,,
NCU02592,,
NCU04077,,
NCU07125,,
NCU09068,,
NCU01158,,
NCU02272,,
NCU06944,,
NCU08700,,
NCU04453,,
NCU02583,,
NCU05939,,
NCU01768,,
NCU09503,,
NCU00941,,
NCU06264,,
NCU07909,,
NCU06868,,
NCU04310,,
NCU06352,,
NCU02319,,
NCU09449,,
NCU02284,,
NCU07011,,
NCU04341,,
NCU05603,,
NCU08887,,
NCU00810,,
NCU04133,,
NCU02988,,
NCU09472,,
NCU04851,,
NCU02628,,
NCU04585,,
NCU08147,,
NCU07481,,
NCU05650,,
NCU04757,,
NCU04570,,
NCU09191,,
NCU05239,,
NCU06411,,
NCU16337,,
NCU05270,,
NCU08423,,
NCU09048,,
NCU05185,,
NCU03785,,
NCU07966,,
NCU09903,,
NCU05246,,
NCU05260,,
NCU08658,,
NCU05046,,
NCU06437,,
NCU05858,,
NCU09031,,
NCU09065,,
NCU02978,,
NCU04800,,
NCU02245,,
NCU05360,,
NCU10905,,
NCU03416,,
NCU08763,,
NCU00914,,
NCU05754,,
NCU05154,,
NCU08921,,
NCU00128,,
NCU06605,,
NCU09211,,
NCU04348,,
NCU05013,,
NCU05807,,
NCU01644,,
NCU02276,,
NCU06365,,
NCU04663,,
NCU08674,,
NCU00652,,
NCU03928,,
NCU02696,,
NCU09252,,
NCU02928,,
NCU04786,,
NCU02612,,
NCU07012,,
NCU01659,,
NCU03550,,
NCU04881,,
NCU02354,,
NCU05575,,
NCU00550,,
NCU04088,,
NCU06500,,
NCU04767,,
NCU01382,,
NCU06908,,
NCU08696,,
NCU01349,,
NCU09846,,
NCU04749,,
NCU09064,,
NCU08616,,
NCU01932,,
NCU05219,,
NCU06685,,
NCU08021,,
NCU03808,,
NCU06216,,
NCU06604,,
NCU08283,,
NCU07029,,
NCU04615,,
NCU06583,,
NCU02324,,
NCU01510,,
NCU09469,,
NCU05891,,
NCU08496,,
NCU09482,,
NCU08701,,
NCU09157,,
NCU01206,,
NCU01151,,
NCU02750,,
NCU01461,,
NCU07513,,
NCU04095,,
NCU00238,,
NCU08487,,
NCU07546,,
NCU06109,,
NCU10264,,
NCU01486,,
NCU10143,,
NCU02053,,
NCU00929,,
NCU09162,,
NCU09500,,
NCU01176,,
NCU01193,,
NCU08064,,
NCU05926,,
NCU04569,,
NCU16942,,
NCU07868,,
NCU03514,,
NCU08957,,
NCU01722,,
NCU07534,,
NCU09830,,
NCU04661,,
NCU00152,,
NCU02057,,
NCU02898,,
NCU01009,,
NCU04826,,
NCU02184,,
NCU02994,,
NCU09007,,
NCU04736,,
NCU06696,,
NCU04321,,
NCU04161,,
NCU10009,,
NCU06488,,
NCU00622,,
NCU02051,,
NCU08597,,
NCU07484,,
NCU00124,,
NCU06382,,
NCU05591,,
NCU07276,,
NCU09301,,
NCU01632,,
NCU05502,,
NCU04112,,
NCU00743,,
NCU08420,,
NCU08358,,
NCU06984,,
NCU02347,,
NCU00388,,
NCU07496,,
NCU08056,,
NCU03776,,
NCU08565,,
NCU08023,,
NCU04105,,
NCU02178,,
NCU01187,,
NCU04254,,
NCU01315,,
NCU04021,,
NCU03060,,
NCU04838,,
NCU01789,,
NCU01638,,
NCU08473,,
NCU01105,,
NCU11138,,
NCU06272,,
NCU04472,,
NCU03379,,
NCU07412,,
NCU06930,,
NCU07308,,
NCU03844,,
NCU02068,,
NCU01910,,
NCU01953,,
NCU04871,,
NCU08441,,
NCU07307,,
NCU07863,,
NCU03584,,
NCU10282,,
NCU04548,,
NCU08535,,
NCU02478,,
NCU10346,,
NCU07949,,
NCU00274,,
NCU00949,,
NCU06294,,
NCU01379,,
NCU06468,,
NCU02793,,
NCU14148,,
NCU16019,,
NCU16005,,
NCU16004,,
NCU14131,,
NCU14011,,
NCU14077,,
NCU17319,,
NCU14081,,
NCU16024,,
NCU16201,,
NCU14085,,
NCU14046,,
NCU16026,,
NCU15223,,
NCU15050,,
NCU16017,,
NCU15115,,
NCU16002,,
NCU16011,,
NCU16001,,
NCU16022,,
NCU16021,,
NCU14170,,
NCU14069,,
NCU16018,,
NCU14112,,
NCU15096,,
NCU14171,,
NCU14139,,
NCU15385,,
NCU16010,,
NCU15257,,
NCU14074,,
NCU15178,,
NCU14060,,
NCU15093,,
NCU14089,,
NCU14006,,
NCU14042,,
NCU14113,,
NCU15152,,
NCU14147,,
NCU15398,,
NCU14086,,
NCU15209,,
NCU14061,,
