STDEV,Strain,DESeq
NCU03634,NCU07807,NCU00659
NCU00132,NCU07953,NCU08946
NCU05290,NCU00080,NCU03086
NCU01016,NCU01275,NCU04246
NCU00663,NCU05149,NCU12028
NCU04360,NCU06479,NCU04202
NCU06228,NCU06861,NCU09474
NCU04509,NCU04662,NCU05757
NCU02799,NCU05974,NCU01975
NCU16917,NCU00236,NCU03752
NCU05780,NCU05176,NCU07138
NCU06958,NCU00173,NCU07049
NCU03891,NCU08337,NCU07915
NCU02967,NCU00314,NCU07232
NCU11209,NCU02705,NCU00299
NCU01516,NCU01351,NCU04526
NCU01922,NCU02560,NCU09421
NCU01215,NCU07081,NCU01904
NCU08390,NCU03732,NCU08568
NCU02499,NCU09271,NCU01877
NCU07898,NCU06575,NCU02064
NCU06664,NCU00549,NCU04735
NCU09699,NCU11245,NCU02335
NCU10893,NCU06303,NCU02480
NCU01713,NCU02654,NCU08943
NCU09283,NCU03813,NCU03749
NCU03000,NCU09117,NCU09599
NCU02623,NCU11416,NCU00864
NCU03283,NCU11195,NCU04655
NCU00502,NCU03670,NCU05488
NCU16651,NCU04452,NCU08133
NCU06603,NCU09931,NCU04304
NCU03908,NCU12034,NCU08183
NCU05147,NCU02152,NCU02029
NCU04594,NCU07723,NCU17137
NCU05166,NCU07349,NCU09035
NCU04309,NCU06652,NCU08549
NCU06130,NCU09517,NCU17268
NCU08095,NCU08171,NCU17270
NCU01213,NCU07465,NCU03078
NCU02027,NCU01493,NCU00175
NCU09674,NCU00185,NCU01585
NCU04466,NCU04921,NCU02713
NCU09848,NCU02757,NCU09455
NCU07550,NCU03830,NCU01989
NCU00623,NCU10037,NCU00360
NCU16552,NCU08746,NCU01233
NCU02888,NCU02360,NCU06977
NCU02381,NCU05074,NCU04109
NCU00146,NCU05841,NCU01511
NCU04583,NCU07132,NCU08018
NCU00519,NCU01071,NCU08330
NCU09096,NCU10015,NCU10270
NCU00729,NCU08156,NCU01735
NCU07120,NCU09430,NCU03803
NCU02947,NCU04597,NCU09491
NCU06549,NCU09924,NCU17100
NCU06622,NCU06981,NCU10006
NCU16659,NCU06417,NCU08456
NCU05631,NCU07379,NCU07977
NCU00504,NCU07080,NCU09600
NCU06372,NCU04085,NCU05345
NCU08038,NCU10865,NCU02340
NCU02923,NCU02005,NCU07581
NCU02854,NCU09800,NCU07661
NCU12154,NCU00666,NCU09519
NCU04555,NCU02771,NCU02018
NCU12125,NCU02887,NCU03884
NCU00830,NCU07649,NCU10012
NCU00974,NCU05419,NCU09043
NCU09582,NCU04099,NCU06127
NCU02124,NCU16699,NCU05341
NCU06019,NCU04897,NCU05448
NCU00303,NCU08383,NCU06448
NCU09560,NCU04323,NCU08057
NCU07733,NCU03322,NCU09119
NCU01114,NCU08173,NCU07991
NCU04237,NCU05306,NCU03003
NCU16861,NCU09498,NCU09821
NCU01112,NCU11367,NCU17267
NCU07485,NCU09161,NCU05571
NCU05712,NCU07124,NCU03617
NCU11201,NCU00886,NCU07586
NCU07906,NCU08516,NCU07904
NCU02779,NCU09718,NCU16972
NCU08191,NCU05762,NCU03909
NCU06136,NCU10932,NCU11264
NCU05893,NCU07703,NCU02395
NCU00859,NCU06576,NCU00867
NCU00397,NCU01057,NCU11054
NCU03530,NCU01546,NCU09403
NCU02608,NCU02322,NCU10055
NCU01815,NCU01972,NCU02071
NCU11196,NCU04347,NCU03569
NCU00590,NCU08667,NCU09306
NCU07518,NCU00994,NCU03851
NCU07170,NCU01830,NCU06348
NCU02737,NCU08699,NCU00326
NCU06237,NCU05272,NCU06227
NCU05706,NCU05161,NCU11370
NCU05574,NCU06412,NCU04058
NCU07486,NCU00792,NCU16745
NCU02138,NCU01866,NCU11307
NCU07267,NCU09646,NCU03332
NCU04261,NCU06978,NCU02998
NCU02601,NCU07302,NCU09776
NCU07943,NCU00884,NCU07842
NCU00737,NCU09533,NCU06550
NCU01136,NCU03913,NCU06610
NCU09383,NCU07621,NCU08495
NCU07858,NCU05625,NCU07360
NCU05569,NCU04368,NCU10894
NCU06905,NCU00973,NCU04960
NCU06599,NCU00522,NCU06587
NCU03696,NCU11368,NCU03310
NCU07725,NCU01592,NCU05817
NCU05766,NCU01629,NCU00487
NCU02991,NCU08291,NCU00871
NCU04928,NCU16657,NCU05256
NCU05024,NCU05882,NCU08691
NCU16806,NCU07422,NCU06700
NCU00116,NCU06807,NCU01750
NCU17055,NCU09676,NCU04845
NCU09029,NCU02014,NCU02711
NCU10567,NCU02400,NCU05714
NCU09057,NCU03280,NCU02338
NCU06920,NCU11331,NCU09477
NCU10889,NCU09988,NCU01645
NCU06086,NCU08624,NCU05761
NCU06919,NCU08863,NCU05607
NCU00245,NCU03092,NCU01024
NCU07694,NCU03198,NCU04070
NCU05237,NCU05537,NCU01092
NCU09489,NCU08111,NCU16716
NCU00659,NCU00787,NCU00748
NCU09682,NCU06964,NCU09278
NCU08946,NCU06983,NCU05244
NCU03086,NCU09732,NCU00265
NCU00369,NCU05821,NCU00187
NCU09473,NCU04997,NCU07069
